,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TOB1,3482.959359,0.844138006,0.068943682,12.24387771,1.81E-34,3.24E-32
C17orf54,0.27823985,0.843465509,0.369237771,2.284342434,0.022351414,0.043466536
SLC22A24,0.528093995,0.84345349,0.338378977,2.492629709,0.012680101,0.026573205
CPLX2,35.55840351,0.843417808,0.397870747,2.119828647,0.034020498,0.062504071
AKR1D1,4.085447292,0.842913853,0.218377054,3.8599012,0.000113433,0.000411978
DLL3,13.28330787,0.842885632,0.190117648,4.433494945,9.27E-06,4.42E-05
RIMS2,58.13125866,0.840695348,0.183563695,4.579856329,4.65E-06,2.39E-05
VTN,22.02557672,0.840367663,0.150684794,5.576990479,2.45E-08,2.12E-07
CFHR5,0.365437244,0.836980155,0.278137483,3.009231791,0.002619092,0.006645634
ATP1A3,78.82718746,0.836050169,0.142600831,5.862870244,4.55E-09,4.57E-08
TMPRSS9,5.163558395,0.835015687,0.132181417,6.31719425,2.66E-10,3.39E-09
SPAG5,842.0742582,0.829946502,0.068421621,12.12988659,7.34E-34,1.20E-31
TMEM86A,531.9885626,0.829816748,0.075028071,11.06008368,1.96E-28,2.46E-26
MC5R,1.060118147,0.827833312,0.240097285,3.447907847,0.000564947,0.001712147
SEZ6,13.2729587,0.825691046,0.299162661,2.760007021,0.005780012,0.013357659
DVWA,1.141140202,0.825157245,0.228360402,3.613398987,0.000302209,0.000982655
DLX4,33.18816474,0.819954007,0.106012604,7.734495472,1.04E-14,2.99E-13
WFDC10A,0.283502158,0.819331657,0.387527868,2.114252221,0.034493731,0.063281604
THRA,767.9982899,0.818914416,0.055392035,14.78397424,1.86E-49,7.68E-47
SYT5,21.67921633,0.813177067,0.194866921,4.172986688,3.01E-05,0.000126133
INSM2,0.562019308,0.813092639,0.186353962,4.363162601,1.28E-05,5.89E-05
MANCR,2.135054808,0.812725294,0.161978112,5.017500721,5.23E-07,3.37E-06
HSPB8,1171.709725,0.811953547,0.11751092,6.909600801,4.86E-12,8.61E-11
PPP1R14D,7.100057258,0.811901451,0.131241302,6.186325808,6.16E-10,7.34E-09
KRT35,0.4056111,0.808892291,0.328187096,2.464729113,0.013711687,0.028468817
SCD,15917.48661,0.808587283,0.092447168,8.746479761,2.20E-18,1.05E-16
SLC30A8,623.5415933,0.807818583,0.232913189,3.468324775,0.000523714,0.001597598
NME1,2414.052202,0.806734457,0.061601291,13.09606405,3.47E-39,8.84E-37
SLCO1B1,0.406468264,0.805885626,0.449290221,1.793686103,0.072863285,0.119980897
PMCHL2,0.173013477,0.805758287,0.549482344,1.466395228,0.142540646,0.212443571
UGT3A1,0.878243415,0.805387605,0.290722971,2.770292287,0.005600601,0.012989846
S100A7A,57.21699747,0.804258698,0.330818724,2.431116015,0.015052394,0.030869939
TPTE,3.423632188,0.802425052,0.178045258,4.506859991,6.58E-06,3.26E-05
CELSR3,313.7679611,0.801003061,0.097991979,8.174169658,2.98E-16,1.09E-14
PVALB,261.9870786,0.798865532,0.227424083,3.51266903,0.00044363,0.001379086
FER1L4,106.0283046,0.7976253,0.110692186,7.205795929,5.77E-13,1.21E-11
USP32,1756.812257,0.797018391,0.063889037,12.47504146,1.02E-35,1.96E-33
