,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CEACAM21,20.92448431,-0.102193532,0.087635445,-1.166120985,0.243565533,0.332824579
CCDC30,111.6149794,-0.102196262,0.061781913,-1.654145313,0.098097991,0.154686268
AKR7L,51.90760888,-0.102240108,0.097175961,-1.052113166,0.292747632,0.387035343
ITPR2,2296.260635,-0.102318931,0.075816123,-1.34956692,0.177154941,0.25492046
ESRRA,631.5518028,-0.102366641,0.053089211,-1.92820047,0.053830196,0.092762699
NOL9,187.7613237,-0.102367255,0.038804109,-2.638051924,0.008338381,0.018416525
GPBP1L1,2783.616012,-0.102390793,0.026068848,-3.927706876,8.58E-05,0.000321291
SLC39A13,928.6842882,-0.102428477,0.040441916,-2.532730536,0.011317792,0.02403238
LRP4,124.8107908,-0.102444529,0.087267965,-1.173907619,0.24043203,0.329147308
C19orf26,14.57956626,-0.102459606,0.084042884,-1.219134818,0.222793027,0.308818565
CENPT,422.4965801,-0.102501767,0.049397283,-2.075048688,0.037982023,0.068785554
TNIP2,623.5287533,-0.102590988,0.040108091,-2.557862664,0.010531768,0.022595808
BEST1,38.88354716,-0.10262266,0.054725083,-1.875239914,0.060759725,0.102761674
TECPR2,670.3512399,-0.102751136,0.032150554,-3.195936774,0.001393777,0.00379822
ARFGAP2,2134.830801,-0.102752143,0.028415758,-3.616026809,0.000299159,0.000974272
FAM167A,144.2040273,-0.102804965,0.100349766,-1.024466422,0.305615023,0.400710991
TCEAL4,3656.587696,-0.102834371,0.069724523,-1.47486662,0.140248406,0.209466
FRAT1,149.8317302,-0.102893108,0.050299082,-2.045625956,0.040793186,0.073215216
CGA,163.7727184,-0.103002557,0.300366748,-0.342922637,0.731656661,0.796013677
RORC,778.5994316,-0.103016043,0.080081097,-1.286396495,0.198304721,0.280391478
TLL1,92.82280506,-0.103124757,0.094344246,-1.093068849,0.274363572,0.36711425
IKBKB,1754.419207,-0.103153417,0.055096547,-1.872230147,0.06117477,0.103407211
IQCK,551.800051,-0.103175416,0.048619828,-2.122085175,0.033830586,0.062224592
TYW1B,105.6300946,-0.103216726,0.058143597,-1.77520367,0.075864264,0.124185834
SENP3,880.8448722,-0.10324163,0.033775621,-3.056690827,0.00223795,0.0057891
EHBP1,793.121863,-0.103287516,0.037785061,-2.733554338,0.006265478,0.014358259
DKFZp566F0947,1.253457023,-0.103310067,0.13908782,-0.742768613,0.457621781,0.554482574
TMEM218,277.2945218,-0.10336158,0.038587812,-2.678606911,0.007392913,0.016590345
POFUT2,626.5793517,-0.103369568,0.034852094,-2.965949979,0.003017496,0.007527146
LRRC4,61.12059801,-0.103388461,0.071002349,-1.456127332,0.145357423,0.215865755
TADA3,1936.781707,-0.103455002,0.032833575,-3.150890568,0.001627735,0.004368577
NDUFV1,1998.289993,-0.103546059,0.051531691,-2.009366625,0.044498267,0.078828771
GPR65,111.3255398,-0.103642073,0.06483334,-1.598592208,0.109911242,0.170481127
TTC15,698.1318071,-0.103686078,0.032255763,-3.214497752,0.001306729,0.003592057
SLC1A2,435.4042214,-0.103689228,0.121769109,-0.851523253,0.394478752,0.493370339
RNF144A,627.5681007,-0.103703797,0.060891502,-1.703091462,0.088550953,0.142015968
NCOA1,1597.234798,-0.103755824,0.038863803,-2.669729038,0.007591248,0.016990327
ZNF823,224.5514665,-0.103781349,0.045325606,-2.289684773,0.022039597,0.042945465
GUCY2C,2.587429119,-0.103796529,0.060358577,-1.719664957,0.085493361,0.137861195
AKAP13,2804.137437,-0.10380056,0.039598596,-2.621319229,0.00875902,0.019235258
WDR25,220.2803068,-0.103813,0.040014552,-2.594381142,0.009476137,0.020618469
TAPBP,5879.880459,-0.103814585,0.043050367,-2.41146807,0.015888443,0.032366829
NPBWR1,0.374606688,-0.103842936,0.362972857,-0.286090085,0.774809125,0.831257206
UTRN,2176.115014,-0.103864407,0.054868519,-1.89296902,0.05836199,0.099411543
CBWD2,688.7332436,-0.103903835,0.034561153,-3.006376438,0.002643815,0.006694665
HES5,2.047474219,-0.103931918,0.120850779,-0.860002059,0.389787907,0.488752463
PSORS1C1,14.40193663,-0.103935906,0.109866966,-0.946015982,0.344140435,0.440908448
CDKN2B,564.0672592,-0.103946459,0.071126154,-1.461437924,0.1438953,0.214075628
FAM40A,665.6673514,-0.104002892,0.02561047,-4.060952023,4.89E-05,0.000194686
CAPNS2,2.674455127,-0.104046744,0.214061577,-0.486059876,0.626924714,0.708954384
TSPAN18,442.6210361,-0.104049623,0.060077002,-1.731937672,0.08328466,0.134774644
VASN,538.7746693,-0.10409184,0.074927812,-1.389228327,0.16476333,0.239877353
C7orf47,286.6402295,-0.104100963,0.06184022,-1.683386049,0.092300382,0.147100334
RRAS2,291.3116456,-0.104183419,0.065224338,-1.597308965,0.110196854,0.17079594
HNMT,864.6866402,-0.104198326,0.048295268,-2.157526632,0.030964654,0.057648809
DEFB132,11.31317599,-0.104206177,0.154575618,-0.674143688,0.500219966,0.595277443
LRCH4,912.5298651,-0.104214308,0.041917944,-2.48615025,0.012913343,0.027028502
GPN2,257.04886,-0.104279846,0.028040528,-3.718897353,0.000200094,0.000684235
DEPDC7,35.60059368,-0.104286081,0.083165962,-1.253951474,0.209859644,0.293777964
PIP5K1C,1437.921406,-0.104450271,0.030013596,-3.480098562,0.000501229,0.001535671
FBXL18,464.1251424,-0.104467373,0.056568184,-1.846751393,0.06478318,0.108608469
AKAP7,130.7140175,-0.104557605,0.050447662,-2.072595665,0.038209925,0.069151152
COQ3,154.5751517,-0.104602424,0.048814087,-2.142873735,0.032123239,0.059478359
NXF1,1679.301477,-0.104654662,0.027252717,-3.840155119,0.000122957,0.000442335
MYO9B,2042.947621,-0.104754541,0.034003928,-3.080660051,0.002065423,0.005385008
FKBP1B,49.41284751,-0.104777178,0.069988109,-1.497071146,0.134374747,0.201958458
PLEKHG2,528.674735,-0.104781475,0.053180298,-1.970306262,0.048803281,0.085303528
C11orf95,454.3475419,-0.104825153,0.04215226,-2.486821667,0.012888999,0.026983621
LINC01278,580.5255365,-0.104829349,0.041555521,-2.522633477,0.011647974,0.024640657
PMF1,1038.603131,-0.104835758,0.041419652,-2.531063225,0.011371735,0.024133147
PCDHA8,7.468808455,-0.10484953,0.12958777,-0.809100503,0.418457339,0.51720415
PGCP,786.5716826,-0.104851496,0.053833019,-1.947717187,0.051448812,0.089138003
SLC6A8,1176.590888,-0.104867999,0.066593635,-1.574745072,0.1153153,0.177457327
SELO,388.6636434,-0.104911269,0.055628623,-1.885922457,0.059305405,0.100769343
SH3D20,8.514153748,-0.104918076,0.094717056,-1.107699921,0.267991434,0.35993448
GJA5,443.4247033,-0.104931567,0.066957656,-1.56713321,0.117083558,0.179687853
PEX16,482.6993702,-0.10497281,0.048462917,-2.166044002,0.030307825,0.056578865
MDGA1,156.1437963,-0.104989042,0.078908607,-1.330514453,0.183348827,0.262396494
ZFP161,389.0444447,-0.105007001,0.024754449,-4.241944659,2.22E-05,9.60E-05
PCDHAC2,34.89540865,-0.105072888,0.100894018,-1.04141841,0.297681402,0.392247708
KAT2B,333.1357242,-0.105076569,0.052886218,-1.98684219,0.046939888,0.082517483
PSMB8,1856.043632,-0.105111026,0.063519692,-1.654778576,0.097969421,0.154553746
BRPF1,616.9819729,-0.105130131,0.029559542,-3.556554847,0.00037575,0.001190355
SMTNL2,9.500073044,-0.105136969,0.1494947,-0.703282251,0.481879869,0.577702958
MEIG1,1.855329263,-0.105154057,0.122070547,-0.861420376,0.389006558,0.488068873
PHF13,812.4339063,-0.105155915,0.027550798,-3.816801045,0.000135193,0.000481604
COL8A2,1465.73616,-0.105168283,0.082602152,-1.273190592,0.202950418,0.285635628
MPZL1,4702.394793,-0.105226218,0.040142902,-2.621290732,0.008759752,0.019235258
METT10D,795.9966504,-0.105241149,0.031423145,-3.349160258,0.000810569,0.002361123
PACS2,1230.021884,-0.105259255,0.0338356,-3.110902515,0.001865165,0.004931789
USP20,682.8054762,-0.105265834,0.03376971,-3.117167202,0.00182598,0.004836428
GPCPD1,868.8599607,-0.105269972,0.05401433,-1.94892674,0.051304174,0.0889537
ELF3,4461.732335,-0.105277792,0.056989573,-1.847316753,0.064701246,0.108500449
LHFPL1,6.997050718,-0.105296603,0.102956022,-1.022733794,0.306433729,0.401617992
PRDM2,1263.337749,-0.105368081,0.035236325,-2.990325509,0.002786803,0.007018517
PCGF5,1050.246212,-0.105373674,0.040604054,-2.595151542,0.009454922,0.020584349
TFR2,64.15770142,-0.105382044,0.111704048,-0.943403977,0.34547431,0.442282261
HDGFL2,1131.242768,-0.105414975,0.051140949,-2.061263544,0.039277904,0.070842682
ANKRD36BP1,140.9478236,-0.105463492,0.089414943,-1.179483975,0.238205514,0.326820917
TM4SF1,6256.637653,-0.105479551,0.092404626,-1.141496432,0.253663396,0.343869362
MEF2D,1978.032892,-0.105489705,0.035282138,-2.989889846,0.002790781,0.007027583
ARHGAP4,527.3640753,-0.105521061,0.073919706,-1.427509207,0.153433173,0.225839157
ZCWPW2,19.14893029,-0.105540301,0.05753361,-1.834411225,0.066592975,0.111211523
NDST2,584.002812,-0.105689466,0.027710387,-3.814073963,0.000136695,0.00048658
PIN1,670.0863638,-0.10569444,0.052704393,-2.005419929,0.044918173,0.079489353
FLJ13224,1.514990643,-0.105720544,0.078893721,-1.340037479,0.18023316,0.258667724
TMEM194B,111.4919071,-0.105759861,0.044238742,-2.390661587,0.016818047,0.033962959
PRKD1,116.6586923,-0.105768255,0.070059211,-1.509698057,0.131120487,0.197694831
NCRNA00181,151.4946675,-0.105783008,0.044168682,-2.394977715,0.016621375,0.033646165
CFH,1240.10516,-0.105795377,0.06783354,-1.559632252,0.11884681,0.182001087
STX4,854.903955,-0.105812002,0.040220413,-2.630803492,0.008518327,0.018751931
SMAP2,1218.99887,-0.105846269,0.037403117,-2.82987834,0.004656571,0.011034216
E4F1,633.8520346,-0.105854951,0.053366952,-1.983530011,0.047308258,0.083015973
CCDC163P,22.6504631,-0.105920853,0.070324769,-1.506167081,0.132024288,0.198827508
WDR37,518.498072,-0.105930992,0.035000431,-3.026562519,0.002473517,0.006316756
METRNL,521.2801684,-0.105979612,0.068733047,-1.541901839,0.123097449,0.187478665
POLR2L,1922.399263,-0.106107907,0.055628882,-1.907424774,0.056465604,0.096605994
DLL4,275.18252,-0.106145533,0.053111791,-1.998530486,0.045659178,0.080630115
THAP4,1094.487321,-0.106167246,0.033329129,-3.185419183,0.001445445,0.003926451
FDX1,346.2815804,-0.106178629,0.039536559,-2.685580957,0.007240383,0.016289329
LY6K,186.6732645,-0.106300312,0.14427148,-0.736807523,0.461239408,0.557993479
SLC25A35,250.0505056,-0.106371672,0.062202838,-1.710077458,0.087251551,0.140294942
AURKAIP1,1409.203987,-0.106373233,0.062038256,-1.714639326,0.086411374,0.139172597
RNF180,104.6150529,-0.106491782,0.069981858,-1.521705546,0.128082877,0.193786174
MESP2,41.76078254,-0.106589689,0.112452176,-0.947866845,0.343197245,0.439919998
PARVB,505.7138784,-0.106601801,0.053985956,-1.974620985,0.048311176,0.08456047
POLR2F,610.4036168,-0.106605433,0.056308099,-1.893252203,0.058324338,0.09936561
UROD,1092.435024,-0.106658947,0.034766298,-3.067883367,0.002155807,0.005598417
HBP1,2125.452365,-0.106663621,0.029528985,-3.61216692,0.000303649,0.000986992
SH3YL1,1171.821782,-0.10666409,0.049168536,-2.169356664,0.030055616,0.056158771
FAM41C,14.94503803,-0.106671873,0.052271357,-2.040732795,0.041277394,0.073954171
DCTD,1503.832273,-0.106701172,0.028994842,-3.680005332,0.000233229,0.000781731
ASB1,363.872175,-0.106760248,0.035701478,-2.990359375,0.002786494,0.007018517
UCN,8.220629926,-0.106761817,0.106007131,-1.007119191,0.3138775,0.40909654
LOC407835,56.25861134,-0.106766068,0.041531268,-2.570739439,0.010148165,0.021888637
CCDC148,20.94848112,-0.106896188,0.077269252,-1.383424651,0.166534696,0.242152984
LGALS3,3452.633978,-0.106950081,0.064723648,-1.652411214,0.098450751,0.15516359
SLC44A3,265.4306072,-0.106971417,0.061835521,-1.729934765,0.083641931,0.135321527
ZNF599,110.2694662,-0.107009805,0.036999742,-2.892177048,0.003825823,0.009271203
GTPBP1,1279.259029,-0.107016753,0.029975777,-3.570107742,0.000356834,0.001135503
C19orf24,658.9114884,-0.107049973,0.057642262,-1.85714386,0.06329069,0.106509549
LOC646471,54.54535462,-0.107070381,0.058863716,-1.818953821,0.068918476,0.114519318
LYAR,300.1321761,-0.107180837,0.04388091,-2.442539093,0.01458435,0.030068958
SETDB2,334.2088412,-0.107183598,0.036390132,-2.945402871,0.003225344,0.007982458
C15orf28,5.640833815,-0.107246071,0.08512812,-1.259819564,0.207734461,0.291222826
RAB4A,975.8267426,-0.107253288,0.03633366,-2.951898813,0.003158264,0.007832074
MUTYH,177.8101407,-0.107279658,0.050176045,-2.13806525,0.032511448,0.060119349
TNFRSF1A,2376.823862,-0.107317553,0.032373214,-3.315010743,0.000916396,0.002633099
ZFP3,266.1595709,-0.107365669,0.039434261,-2.72264947,0.006476073,0.014793476
RUNX1T1,39.01108841,-0.107447056,0.090190914,-1.191329045,0.233524436,0.321513138
FNBP4,1178.413564,-0.107560057,0.030951961,-3.475064389,0.000510731,0.001562092
L3MBTL3,200.1271156,-0.107565329,0.047440454,-2.26737565,0.023367288,0.045140027
KLF12,444.0260241,-0.107574541,0.054649056,-1.968461108,0.049015007,0.085623191
C2orf65,47.68305034,-0.107667602,0.124470649,-0.865003945,0.387036623,0.486056324
ZNF187,310.2785244,-0.107708827,0.032827395,-3.281065274,0.001034158,0.002923147
IQCA1,105.9595166,-0.10774804,0.107985342,-0.99780246,0.318375157,0.413798711
QARS1,3636.730529,-0.107785022,0.030028436,-3.589431715,0.0003314,0.001064543
FAM175A,238.7828487,-0.107809964,0.039658709,-2.718443641,0.006558983,0.014962655
CHRND,0.116268275,-0.107837633,0.929760358,-0.115984331,0.90766496,0.933513636
FAM119B,275.5622574,-0.107869756,0.036270889,-2.974003638,0.002939416,0.007352097
ZNF185,1001.884281,-0.107874808,0.071538187,-1.50793321,0.131571622,0.198232243
WARS2,403.1748322,-0.107890904,0.037435311,-2.882062459,0.003950814,0.009539295
GRIK5,29.67784658,-0.107899121,0.105057373,-1.027049484,0.304397164,0.399455504
SHB,757.8420545,-0.107981614,0.04579956,-2.357699832,0.018388555,0.036672608
SNHG7,610.6495142,-0.10802417,0.060983392,-1.771370311,0.076499142,0.125136988
MYOT,2.198545781,-0.108046382,0.125335615,-0.862056505,0.388656425,0.48772828
MAPK15,203.8789418,-0.108116267,0.126099044,-0.857391645,0.391228475,0.489997199
MFAP2,1164.258444,-0.108155964,0.080173512,-1.349023646,0.177329371,0.255037811
WNT7A,0.996033683,-0.108174873,0.214040246,-0.505395012,0.613281422,0.697128784
CTDSP2,4980.470482,-0.108259569,0.03360319,-3.221705082,0.001274302,0.003513593
MAP2K2,1904.7103,-0.108266505,0.043562552,-2.485311357,0.012943817,0.02707705
C7orf34,0.474232461,-0.108306171,0.208634828,-0.519118367,0.603678201,0.688403767
PDDC1,1110.905653,-0.108352368,0.044584202,-2.430286121,0.015086908,0.03092708
PER3,745.4218605,-0.108359117,0.0607935,-1.782412867,0.074681929,0.122564685
STK24,2824.462748,-0.108365933,0.038383515,-2.823241485,0.004754075,0.011235202
PPAN,469.1668522,-0.108372693,0.063332778,-1.711162784,0.087051067,0.14004522
UNC45B,1.991189527,-0.108377765,0.06868963,-1.577789315,0.114614019,0.176538811
FAM200B,356.5287728,-0.108434256,0.033995942,-3.189623481,0.001424583,0.00387479
CCT6P1,76.60338162,-0.108464984,0.042113131,-2.575562119,0.010007729,0.021644922
RASD1,494.8351346,-0.108476367,0.106148732,-1.021928048,0.306814956,0.40180618
MLPH,6560.329773,-0.108487115,0.099766465,-1.08741064,0.276855371,0.369756789
DCAF15,492.2183969,-0.108498587,0.041597292,-2.608308889,0.00909908,0.019902834
PCDHA7,25.21149285,-0.108563768,0.115995045,-0.935934533,0.349306896,0.44632859
RPS21,6737.755432,-0.108571543,0.058220118,-1.864845812,0.06220302,0.10492599
LRRC17,323.4901405,-0.108617439,0.09861164,-1.101466708,0.270693586,0.362934689
GNG10,468.7227524,-0.108643083,0.036038965,-3.014600565,0.002573179,0.006547894
DENND5B,271.9582859,-0.10867811,0.063442709,-1.713011824,0.086710364,0.139557465
GATA3,11302.58071,-0.108678189,0.093426781,-1.163244499,0.244730317,0.334048082
RSBN1,610.9870517,-0.108749784,0.036342104,-2.992390955,0.002768015,0.006978761
C17orf72,75.70102257,-0.108759307,0.085248209,-1.275795796,0.202027714,0.28466011
ANXA11,3301.764003,-0.108763449,0.036561576,-2.974801953,0.002931778,0.007334965
ITM2C,1298.612694,-0.108926764,0.078629775,-1.385311925,0.165957109,0.241407498
AGAP8,33.37876438,-0.109007947,0.06913899,-1.576649401,0.114876219,0.176869437
ATP10A,339.102696,-0.109015687,0.065880117,-1.654758566,0.097973482,0.154553746
CYP7B1,116.2481782,-0.109136871,0.086174753,-1.26645993,0.205348467,0.288435495
RXRG,4.286350015,-0.109140911,0.136593588,-0.799019285,0.42427923,0.522593999
CREBL2,1596.439609,-0.109144524,0.036624665,-2.980082504,0.002881708,0.007231672
PTAR1,911.9473281,-0.10916838,0.044327553,-2.462765759,0.013786996,0.028602825
SMIM30,664.0645415,-0.109212457,0.043517574,-2.509617302,0.012086207,0.025443278
RBM9,1827.768648,-0.109253553,0.034924105,-3.128313648,0.001758125,0.004672672
ATP5L,2523.162297,-0.109290673,0.039978893,-2.733709318,0.00626253,0.014353272
ZNF784,139.6797507,-0.109299414,0.047950912,-2.279402184,0.022643169,0.043946603
ATHL1,1330.74161,-0.109307469,0.106961926,-1.021928767,0.306814616,0.40180618
POLR3D,378.0014991,-0.109334007,0.040727608,-2.684518226,0.007263442,0.016332984
MGC16121,19.43833531,-0.109367305,0.101858204,-1.073721123,0.282947691,0.376299186
TREM2,395.7546871,-0.109367822,0.06536108,-1.673286643,0.094270881,0.14978166
RNF130,1734.05984,-0.109391856,0.032982057,-3.316708086,0.000910847,0.002621611
ZNF568,144.5037503,-0.109406987,0.04423033,-2.473573811,0.013376917,0.027848856
NFAT5,1306.592053,-0.109415403,0.042482827,-2.575520777,0.010008926,0.021644922
TBC1D22A,379.8552401,-0.109416479,0.034874969,-3.137392856,0.001704576,0.004547246
CREB3,1339.344428,-0.109421984,0.037556611,-2.913521219,0.003573775,0.008729794
DNAJC17,275.6384757,-0.109429456,0.04818397,-2.271075987,0.023142378,0.044775314
GPER,119.4788397,-0.10944245,0.108940962,-1.004603301,0.315087907,0.410357817
KRI1,790.2949198,-0.109465438,0.038525923,-2.841344993,0.004492369,0.01069193
USP49,22.05204303,-0.109531471,0.067230835,-1.629185052,0.10327385,0.16166908
FAAH,661.1273929,-0.1095529,0.064203338,-1.706342752,0.087944283,0.141201287
RHOV,663.4439404,-0.10962152,0.088976948,-1.232021575,0.217941025,0.303200323
ZNF598,894.0852075,-0.109628113,0.042909603,-2.554861984,0.010622991,0.022762328
NHEDC2,151.4897854,-0.109696518,0.071490142,-1.534428592,0.124924248,0.189717163
PKP4,2620.576197,-0.109728931,0.035180908,-3.118990875,0.001814716,0.004809333
IFT172,600.2847439,-0.109771233,0.032499973,-3.377579167,0.000731269,0.002156814
ECM2,462.1845588,-0.109784148,0.075411077,-1.45580931,0.145445341,0.215979074
SBF1,1241.198479,-0.109790957,0.04769331,-2.302020054,0.021334041,0.041763165
FGFRL1,594.3900714,-0.109808365,0.058540793,-1.875758064,0.060688509,0.102678575
ZNF444,683.890309,-0.10982906,0.050738342,-2.164616661,0.030417054,0.056742907
TTC36,78.54484324,-0.109831929,0.145680506,-0.75392331,0.450895273,0.548404471
OSCP1,257.6718322,-0.109842059,0.052599489,-2.088272341,0.036773275,0.066902684
NPHP1,119.7560986,-0.109846997,0.054364214,-2.020575452,0.043323732,0.077052111
MLLT3,389.4460288,-0.109901464,0.06654399,-1.651561079,0.09862406,0.155384065
LY6H,14.20116537,-0.109941449,0.106883738,-1.028607826,0.303663999,0.398656135
ELK3,462.6155446,-0.109960067,0.05445497,-2.019284294,0.043457679,0.077250251
MPP6,60.09281593,-0.110013334,0.100588945,-1.0936921,0.27409004,0.36682742
GUCA2A,0.07138357,-0.11012002,0.843079433,-0.130616423,0.89607875,0.925332779
UNC5A,168.4234815,-0.110131826,0.136681105,-0.8057575,0.420382688,0.518928626
BTN3A1,784.1049275,-0.110153601,0.054054364,-2.037829941,0.041566943,0.07438695
DRAM2,1126.182146,-0.110155056,0.036153793,-3.046846449,0.002312558,0.005951293
GRAMD1C,196.5093666,-0.11017619,0.06281942,-1.753855587,0.079455255,0.129403528
ID3,738.1102112,-0.110188361,0.061500726,-1.791659527,0.073187521,0.120440162
WNK3,25.70997739,-0.110236976,0.116292869,-0.9479255,0.343167382,0.439919998
ABR,1765.635543,-0.110383453,0.034530331,-3.196709979,0.001390046,0.00378868
STK19,430.6407594,-0.110447643,0.042011736,-2.628971165,0.008564362,0.0188418
C6orf124,19.90866409,-0.110474381,0.082845125,-1.333504901,0.182366168,0.261211272
FBXL16,723.8515642,-0.110475918,0.095668455,-1.154778942,0.248180963,0.337890178
PSRC1,229.1587733,-0.1105361,0.062087789,-1.780319481,0.075023691,0.123015571
PDPR2P,40.59393424,-0.110547461,0.061968069,-1.783942329,0.074433037,0.122200267
GPR1,42.49881811,-0.110577721,0.105650695,-1.046635056,0.295267927,0.389658305
SLC5A6,2396.298765,-0.11058609,0.067279013,-1.643693701,0.100239488,0.157515566
MSX2P1,3.277919879,-0.110595685,0.088545264,-1.249029928,0.211654128,0.295892598
FAM57A,278.090816,-0.110684643,0.056520186,-1.95832056,0.05019241,0.08733545
MREG,1001.480652,-0.110700857,0.052514605,-2.108001323,0.035030875,0.064127878
SCARNA5,1.876928606,-0.110733794,0.152342531,-0.726873794,0.467303272,0.563823585
FOXS1,68.45762402,-0.110736398,0.068213134,-1.623388232,0.104506439,0.163268816
OAZ1,9191.075537,-0.110746316,0.039078986,-2.833909665,0.004598233,0.010912662
RIOK3,1350.95659,-0.110788671,0.033964888,-3.261858857,0.001106842,0.003103597
SPPL2B,841.0615929,-0.110833025,0.047128687,-2.351710448,0.018687315,0.037168792
ACOXL,5.876658111,-0.110840275,0.135507537,-0.817963912,0.413377794,0.511859435
C6orf25,1.465559415,-0.110872199,0.123336495,-0.89894073,0.368684232,0.466695571
SYK,768.8911706,-0.110913303,0.059048713,-1.878335669,0.06033526,0.10222724
PHF19,516.5634461,-0.110934944,0.050100323,-2.214256049,0.02681117,0.050873389
KEAP1,1675.439368,-0.110939818,0.034840119,-3.184254876,0.001451272,0.003941014
SART1,1299.068647,-0.110972793,0.048848138,-2.271791648,0.023099098,0.04471018
TLR2,413.6403843,-0.110983875,0.06760015,-1.641769652,0.100637751,0.158007895
NRP1,2136.004922,-0.11098802,0.052496721,-2.114189571,0.034499079,0.063285174
TC2N,3162.123912,-0.110989632,0.068460908,-1.621211792,0.104972225,0.163900135
RNF126,496.1032528,-0.111019892,0.047769262,-2.324086378,0.020120865,0.039668006
FER1L5,8.389870259,-0.111029934,0.147891859,-0.750750815,0.452802635,0.55010782
C19orf51,117.4131916,-0.111033625,0.106088128,-1.04661688,0.295276313,0.389658305
FTO,1344.17888,-0.111072832,0.054641488,-2.032756353,0.042077145,0.075155365
C11orf73,440.9078332,-0.111170546,0.03929754,-2.828944147,0.004670185,0.011059431
IRF3,908.5218156,-0.111185017,0.05270391,-2.109616092,0.034891437,0.06394185
MRPL20-AS1,394.1230167,-0.111195813,0.042245588,-2.632128428,0.008485178,0.01870299
IQCG,427.3465285,-0.111215664,0.059329997,-1.874526705,0.060857865,0.10290894
FBXO42,488.8292221,-0.111273716,0.020958767,-5.309172795,1.10E-07,8.28E-07
PIGZ,119.5159316,-0.111330699,0.058892193,-1.890415251,0.058702445,0.099927401
GLTPD2,0.166806871,-0.111356024,0.412427184,-0.270001659,0.787158977,0.841497288
CTSH,2401.177919,-0.111546583,0.052071867,-2.142166014,0.032180125,0.059565899
UPF3B,314.5024498,-0.111585571,0.043578018,-2.560593088,0.010449367,0.022452376
SMPD1,783.7443596,-0.111607446,0.042239565,-2.642248922,0.00823575,0.018222094
WBSCR26,17.29679704,-0.111631688,0.117623683,-0.949057921,0.342591154,0.43934723
DENND1A,675.6591387,-0.111687483,0.027965234,-3.993797532,6.50E-05,0.000250543
LAIR1,521.2650553,-0.111707909,0.061449033,-1.817895325,0.069080133,0.114726439
MXD1,552.6236117,-0.111750035,0.054075177,-2.066568068,0.038774872,0.070037278
ARHGAP19,461.3517892,-0.111752128,0.037544916,-2.976491599,0.002915671,0.007304493
C7orf40,345.6714521,-0.111766437,0.053644078,-2.083481376,0.037207368,0.067599866
TRAPPC1,1322.957599,-0.111777849,0.041138334,-2.717121461,0.006585244,0.015013355
PRMT2,1892.438272,-0.111813655,0.033198995,-3.367983123,0.000757202,0.002223781
RAB17,515.4003803,-0.111822049,0.068171815,-1.640297374,0.100943351,0.15843421
ZNF688,246.7632752,-0.111851693,0.061537342,-1.817623085,0.069121761,0.114785324
AARS2,476.468082,-0.111855302,0.036159268,-3.093406188,0.001978731,0.005188555
TUBA8,55.76877087,-0.111864187,0.066624856,-1.679015829,0.093148959,0.14823971
CDK20,197.7453184,-0.111955438,0.039588773,-2.827959289,0.004684576,0.011086453
C9orf3,292.0967135,-0.112043233,0.052043857,-2.152861824,0.03132954,0.058223232
ARHGEF17,1356.985693,-0.11207713,0.045887391,-2.442438489,0.014588415,0.030068958
AXIN1,1011.976678,-0.112108927,0.039465348,-2.840692748,0.004501566,0.010709213
NCRNA00116,181.4881439,-0.112115559,0.06701754,-1.672928588,0.094341355,0.149836995
GABPB1-AS1,85.78199233,-0.112178123,0.048707162,-2.303113516,0.021272457,0.041655762
ZSCAN5B,1.457212057,-0.112187017,0.080571749,-1.392386512,0.163805387,0.238744329
LIMK1,1179.335122,-0.112218017,0.041579029,-2.698909056,0.006956718,0.015733497
GNB2,4942.655575,-0.112229245,0.040265775,-2.787211863,0.005316371,0.012417328
ZNF506,427.6673682,-0.112269772,0.043524664,-2.579451752,0.009895728,0.021446125
CSTB,3558.199513,-0.112277273,0.066542947,-1.687290359,0.091547534,0.146066105
TMEM187,298.717015,-0.112443334,0.044554063,-2.523750378,0.011611034,0.024590484
TWF2,1096.032387,-0.112470913,0.041842896,-2.687933281,0.007189576,0.016186772
SPON2,1057.977154,-0.112475742,0.078914319,-1.425289406,0.154073561,0.226674115
C6orf162,95.46274592,-0.11262909,0.040468795,-2.783109547,0.005384062,0.012548644
MPG,963.2750369,-0.112629566,0.053453588,-2.107053419,0.035112949,0.064252828
ANO2,35.51844814,-0.112640097,0.110867062,-1.015992445,0.309632984,0.404727238
CABLES1,882.3999006,-0.112711272,0.052585773,-2.143379599,0.03208263,0.059420915
PCF11,1342.943075,-0.112792522,0.033478353,-3.369118045,0.000754091,0.002215975
TMEM59L,27.59383721,-0.113034821,0.107101201,-1.055401998,0.291241509,0.385372854
TMPRSS13,509.9231106,-0.113130637,0.079647973,-1.420383115,0.155496176,0.22836966
KCNQ1OT1,124.684502,-0.11313206,0.065187492,-1.735487241,0.082654539,0.13389877
ITGA2,1126.262246,-0.113284342,0.079563876,-1.423816281,0.154499662,0.227211133
MLL5,1871.032409,-0.11332612,0.041174185,-2.752358536,0.00591677,0.013639813
CAPN2,5672.018139,-0.113401494,0.053158167,-2.133284519,0.032901393,0.060743797
SLC41A3,927.7801894,-0.11343458,0.035819976,-3.166796685,0.00154128,0.004162721
NUDT22,420.6799353,-0.113469718,0.053156336,-2.134641456,0.032790308,0.060571953
GKAP1,119.3822658,-0.113479074,0.049972173,-2.270845316,0.023156344,0.044783699
